scraped_at_utc,url,metric,previous,current,change,note
2026-07-10T17:12:44Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,6,5,-1,1 spot(s) newly occupied (booked) since last run
2026-07-10T22:28:08Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,5,4,-1,1 spot(s) newly occupied (booked) since last run
2026-07-11T00:13:30Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,5,4,-1,1 spot(s) newly occupied (booked) since last run
2026-07-11T06:29:17Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,2,1,1 spot(s) freed (booking ended) since last run
2026-07-11T09:00:59Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,4,5,1,1 spot(s) freed (booking ended) since last run
2026-07-11T10:36:20Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,2,1,-1,1 spot(s) newly occupied (booked) since last run
2026-07-11T21:09:20Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,5,4,-1,1 spot(s) newly occupied (booked) since last run
2026-07-12T07:03:54Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,4,5,1,1 spot(s) freed (booking ended) since last run
2026-07-12T09:20:24Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,0,-1,1 spot(s) newly occupied (booked) since last run
2026-07-12T09:20:24Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,booking_amount_label,10+,100+,,listing's total-bookings badge changed
2026-07-12T13:59:00Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,8,7,-1,1 spot(s) newly occupied (booked) since last run
2026-07-12T15:28:19Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,6,-1,1 spot(s) newly occupied (booked) since last run
2026-07-12T19:34:17Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,0,1,1,1 spot(s) freed (booking ended) since last run
2026-07-12T19:34:17Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,6,7,1,1 spot(s) freed (booking ended) since last run
2026-07-12T21:09:08Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,6,-1,1 spot(s) newly occupied (booked) since last run
2026-07-12T22:10:22Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,4,3,-1,1 spot(s) newly occupied (booked) since last run
2026-07-12T23:12:06Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,6,7,1,1 spot(s) freed (booking ended) since last run
2026-07-13T11:32:21Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,2,1,1 spot(s) freed (booking ended) since last run
2026-07-14T00:10:31Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,2,1,-1,1 spot(s) newly occupied (booked) since last run
2026-07-14T09:19:53Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,0,-1,1 spot(s) newly occupied (booked) since last run
2026-07-14T18:33:24Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,5,4,-1,1 spot(s) newly occupied (booked) since last run
2026-07-15T00:09:04Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,0,1,1,1 spot(s) freed (booking ended) since last run
2026-07-15T03:40:34Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,2,-1,1 spot(s) newly occupied (booked) since last run
2026-07-15T03:40:34Z,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,total_available,10,9,-1,1 spot(s) newly occupied (booked) since last run
2026-07-15T14:15:01Z,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/8350-florida-boulevard-70726,total_available,4,5,1,1 spot(s) freed (booking ended) since last run
2026-07-15T19:40:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,2,3,1,1 spot(s) freed (booking ended) since last run
2026-07-15T22:16:52Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,4,5,1,1 spot(s) freed (booking ended) since last run
2026-07-16T03:43:11Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,2,-1,1 spot(s) newly occupied (booked) since last run
2026-07-16T03:43:11Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,5,4,-1,1 spot(s) newly occupied (booked) since last run
2026-07-16T03:43:11Z,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,total_available,9,10,1,1 spot(s) freed (booking ended) since last run
2026-07-16T06:35:16Z,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,total_available,10,9,-1,1 spot(s) newly occupied (booked) since last run
2026-07-16T09:32:21Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,2,1,1 spot(s) freed (booking ended) since last run
2026-07-16T16:44:58Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,2,1,-1,1 spot(s) newly occupied (booked) since last run
2026-07-16T16:44:58Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,4,3,-1,1 spot(s) newly occupied (booked) since last run
2026-07-16T23:13:52Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,3,4,1,1 spot(s) freed (booking ended) since last run
2026-07-17T03:42:45Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,2,3,1,1 spot(s) freed (booking ended) since last run
2026-07-17T06:31:09Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,4,5,1,1 spot(s) freed (booking ended) since last run
2026-07-17T06:31:09Z,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,total_available,9,10,1,1 spot(s) freed (booking ended) since last run
2026-07-17T15:47:37Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,2,-1,1 spot(s) newly occupied (booked) since last run
2026-07-17T22:08:55Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,2,1,1 spot(s) freed (booking ended) since last run
2026-07-17T23:11:20Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,2,1,-1,1 spot(s) newly occupied (booked) since last run
2026-07-18T06:23:32Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,1,0,-1,1 spot(s) newly occupied (booked) since last run
2026-07-18T21:08:29Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,6,-1,1 spot(s) newly occupied (booked) since last run
2026-07-18T23:13:56Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,0,1,1,1 spot(s) freed (booking ended) since last run
2026-07-19T06:44:54Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,1,0,-1,1 spot(s) newly occupied (booked) since last run
2026-07-19T19:36:11Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,6,7,1,1 spot(s) freed (booking ended) since last run
2026-07-19T21:10:05Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,8,1,1 spot(s) freed (booking ended) since last run
2026-07-19T22:11:42Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,0,1,1,1 spot(s) freed (booking ended) since last run
2026-07-19T22:11:42Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,8,7,-1,1 spot(s) newly occupied (booked) since last run
2026-07-20T04:09:24Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,6,-1,1 spot(s) newly occupied (booked) since last run
2026-07-20T04:09:24Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809-bobtails,total_available,3,2,-1,1 spot(s) newly occupied (booked) since last run
2026-07-20T18:24:10Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,1,2,1,1 spot(s) freed (booking ended) since last run
2026-07-20T18:24:10Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,2,1,-1,1 spot(s) newly occupied (booked) since last run
2026-07-20T20:44:05Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,2,3,1,1 spot(s) freed (booking ended) since last run
2026-07-20T22:16:17Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,6,7,1,1 spot(s) freed (booking ended) since last run
2026-07-21T03:51:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,5,6,1,1 spot(s) freed (booking ended) since last run
2026-07-21T12:02:53Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,8,1,1 spot(s) freed (booking ended) since last run
2026-07-21T18:43:34Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,4,1,1 spot(s) freed (booking ended) since last run
2026-07-21T18:43:34Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,2,1,1 spot(s) freed (booking ended) since last run
2026-07-21T20:38:18Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,2,1,-1,1 spot(s) newly occupied (booked) since last run
2026-07-21T22:14:13Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,total_available,3,2,-1,1 spot(s) newly occupied (booked) since last run
2026-07-21T23:15:07Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,4,3,-1,1 spot(s) newly occupied (booked) since last run
2026-07-22T09:42:18Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,4,1,1 spot(s) freed (booking ended) since last run
2026-07-22T14:29:26Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,4,3,-1,1 spot(s) newly occupied (booked) since last run
2026-07-22T16:52:19Z,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,price_daily_usd,20.00,15.00,,
2026-07-22T16:52:19Z,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,price_weekly_usd,80.00,60.00,,
2026-07-22T16:52:19Z,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,price_monthly_usd,200.00,150.00,,
2026-07-23T00:15:53Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,total_available,2,3,1,1 spot(s) freed (booking ended) since last run
2026-07-23T00:15:53Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,2,1,1 spot(s) freed (booking ended) since last run
2026-07-23T14:37:08Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,2,-1,1 spot(s) newly occupied (booked) since last run
